source,target,Type,weight
0,101,Undirected,3
0,115,Undirected,3
0,272,Undirected,3
0,336,Undirected,14
0,337,Undirected,3
0,354,Undirected,3
0,381,Undirected,3
0,422,Undirected,4
0,510,Undirected,3
0,726,Undirected,7
0,729,Undirected,6
0,742,Undirected,4
1,110,Undirected,4
1,600,Undirected,5
1,671,Undirected,3
1,751,Undirected,6
2,148,Undirected,13
2,189,Undirected,4
2,290,Undirected,4
2,501,Undirected,3
2,592,Undirected,4
2,667,Undirected,4
2,717,Undirected,3
2,726,Undirected,3
2,745,Undirected,3
3,148,Undirected,11
3,197,Undirected,7
3,218,Undirected,3
3,280,Undirected,14
3,292,Undirected,9
3,358,Undirected,16
3,400,Undirected,10
3,588,Undirected,12
3,593,Undirected,4
3,613,Undirected,11
3,726,Undirected,23
3,729,Undirected,3
3,746,Undirected,3
3,785,Undirected,6
3,792,Undirected,4
4,6,Undirected,6
5,336,Undirected,3
6,21,Undirected,4
6,22,Undirected,7
6,88,Undirected,4
6,119,Undirected,9
6,130,Undirected,33
6,139,Undirected,3
6,150,Undirected,3
6,157,Undirected,5
6,163,Undirected,4
6,174,Undirected,11
6,190,Undirected,3
6,246,Undirected,20
6,259,Undirected,5
6,304,Undirected,3
6,338,Undirected,5
6,345,Undirected,25
6,360,Undirected,110
6,433,Undirected,3
6,439,Undirected,5
6,526,Undirected,3
6,555,Undirected,5
6,602,Undirected,5
6,631,Undirected,99
6,667,Undirected,12
6,782,Undirected,3
7,48,Undirected,6
7,311,Undirected,6
7,696,Undirected,3
7,781,Undirected,4
8,50,Undirected,7
8,56,Undirected,4
8,60,Undirected,17
8,151,Undirected,5
8,186,Undirected,4
8,205,Undirected,4
8,210,Undirected,27
8,252,Undirected,6
8,254,Undirected,10
8,262,Undirected,4
8,463,Undirected,7
8,493,Undirected,11
8,626,Undirected,5
8,696,Undirected,20
8,744,Undirected,20
9,602,Undirected,3
10,46,Undirected,5
10,64,Undirected,4
10,91,Undirected,4
10,95,Undirected,3
10,115,Undirected,3
10,162,Undirected,4
10,189,Undirected,15
10,194,Undirected,3
10,242,Undirected,3
10,336,Undirected,37
10,354,Undirected,6
10,357,Undirected,3
10,527,Undirected,3
10,588,Undirected,14
10,602,Undirected,35
10,623,Undirected,4
10,726,Undirected,9
10,729,Undirected,26
10,746,Undirected,3
11,228,Undirected,3
11,235,Undirected,3
