Source,Target,Action_code,Rel_code,Chapter,Page
3,1,1,1,1,3
1,2,1,1,1,3
17,4,1,1,1,3
4,5,1,1,1,3
4,6,1,1,1,3
17,6,1,1,1,3
6,7,1,1,1,3
7,8,1,1,1,3
8,9,1,1,1,3
9,10,1,1,1,3
9,11,1,1,1,3
11,12,1,1,1,3
12,13,1,1,1,3
7,14,1,1,1,3
14,15,1,1,1,3
15,16,1,1,1,3
19,17,1,1,1,3
17,18,1,1,1,3
19,20,1,1,1,4
21,20,1,1,1,4
19,22,1,1,1,4
23,22,1,1,1,4
19,24,1,1,1,4
4,17,7,1,2,4
4,1,12,3,2,5
17,1,12,3,2,5
17,3,13,2,2,5
27,18,1,1,2,5
17,25,7,3,2,5
25,26,1,1,2,5
17,4,4,1,2,6
17,4,8,1,2,6
28,17,1,1,2,6
27,17,7,1,2,6
28,17,9,1,2,6
29,30,1,1,3,6
30,31,1,1,3,6
29,32,1,1,3,6
32,33,1,1,3,6
27,17,12,1,3,7
32,17,18,3,3,7
32,17,4,3,3,7
32,17,8,3,3,7
35,17,12,6,3,7
32,27,18,3,3,7
32,27,8,3,3,7
35,27,12,6,3,7
32,35,12,6,3,7
35,17,7,3,3,8
17,29,12,3,3,8
17,29,4,3,3,8
17,29,3,3,3,8
29,32,12,1,3,8
17,32,3,3,3,9
17,32,8,3,3,9
32,17,4,3,4,9
17,29,12,3,4,9
17,32,12,3,4,9
29,17,4,3,4,10
17,36,12,3,5,10
17,37,12,5,5,10
37,38,1,1,5,10
39,40,2,7,5,10
41,17,5,5,5,11
37,17,5,5,5,11
34,35,12,5,5,11
37,36,6,5,5,11
17,37,6,5,5,11
17,41,6,5,5,11
32,17,7,3,5,12
17,29,8,3,5,12
42,32,1,1,5,12
35,32,7,3,5,12
17,32,8,3,5,12
42,34,6,5,5,12
17,29,12,3,6,12
17,32,12,3,6,12
17,3,2,2,6,13
17,4,12,1,6,13
29,17,8,3,6,13
32,17,8,3,6,13
32,17,17,3,6,13
3,1,12,1,6,14
17,3,12,2,6,14
1,4,12,3,6,14
1,17,12,2,6,14
3,1,12,1,7,15
43,27,1,1,7,15
3,43,12,2,7,15
3,1,7,1,7,16
3,1,4,1,7,16
17,1,20,2,8,17
1,17,14,2,8,17
1,44,4,3,8,17
1,44,12,3,8,17
19,45,2,7,9,18
46,4,12,3,9,19
47,4,12,3,9,19
46,19,13,6,9,19
46,47,1,1,9,19
46,47,12,1,9,19
19,4,12,1,10,19
19,4,7,1,10,19
4,17,12,1,10,20
4,17,18,1,10,20
48,19,1,1,10,20
19,25,12,7,10,20
19,25,4,7,10,20
25,48,3,3,10,20
19,48,18,22,10,20
25,19,2,2,10,21
25,19,12,22,10,21
25,48,12,22,10,21
46,19,12,22,11,21
46,19,5,22,11,21
46,47,12,22,11,21
46,25,5,5,11,22
19,25,12,22,11,22
19,25,4,22,11,22
25,46,15,5,11,22
25,46,17,5,11,22
25,46,6,5,11,22
19,4,12,22,12,23
49,19,1,6,12,23
25,19,7,22,12,23
19,25,12,22,12,23
19,25,4,22,12,23
48,25,4,22,12,23
48,25,12,22,12,23
19,625,8,3,12,23
48,25,12,3,12,24
48,25,7,3,12,24
48,25,4,3,12,24
626,47,12,3,12,24
626,47,7,3,12,24
47,4,12,22,12,25
47,4,14,22,12,25
47,17,12,22,12,25
17,47,8,3,12,26
50,51,1,1,13,26
50,52,1,1,13,26
50,52,12,1,13,26
50,53,1,1,13,26
51,53,1,1,13,26
52,53,1,1,13,26
17,4,12,22,13,27
17,50,12,22,13,27
4,50,12,22,13,27
17,52,12,22,13,27
4,52,12,22,13,27
