node_id,node_label,node_gender
1,Mord Sighvatson Gigja,1
2,Sighvat the Red,1
3,Unn Mardardottir,0
4,Hoskuld Dala-Kollsson,1
5,Dala-Koll,1
6,Thorgerd Thorsteinsdottir,0
7,Thorstein Olafsson the Red,1
8,Olaf Ingjaldsson the White,1
9,Ingjald Helgason,1
10,Helgi,1
11,Thora,0
12,Sigurd Snake-in-the-eye,1
13,Ragnar Shaggy-breeches,1
14,Unn the Deep-minded,0
15,Ketil Flat-nose,1
16,Bjorn Buna,1
17,Hrut Herjolfsson,1
18,Herjolf,1
19,Hallgerd Hoskuldsdottir Long-hose,0
20,Thorleik Hoskuldsson,1
21,Bolli Thorleiksson,1
22,Olaf Hoskuldsson Peacock,1
23,Kjartan Olafsson,1
24,Bard Hoskuldsson,1
25,Thjostolf Bjarnarson,1
26,Bjorn Gold-bearer,1
27,Ozur,1
28,Eyvind,1
29,Harald Eiriksson Grey-cloak,1
30,Eirik Haraldsson Blood-axe,1
31,Harald Halfdanarson Fair-hair,1
32,Gunnhild Ozurardottir,0
33,Ozur Toti,1
34,Soti,1
35,Ogmund,1
36,Ulf the Unwashed,1
37,Atli Arnvidsson,1
38,Earl Arnvid of Gotland,1
39,Hakon Haraldsson,1
40,King Athelstan,1
41,Asolf,1
42,Gudrod Eiriksson,1
43,Sigmund Ozurarson,1
44,Jorund Hrafnsson the Godi,1
45,Thjostolf   ,1
46,Thorvald Osvifsson,1
47,Osvif,1
48,Svan from Svanshol,1
49,Ljot the Black,1
50,Thorarin Oleifsson,1
51,Ragi Oleifsson,1
52,Glum Oleifsson,1
53,Oleif Hjalti,1
54,Hrafn Haengsson,1
55,Thorgerd   ,0
56,Thorgerd Glumsdottir,0
57,Sigurd Fafnisbani,1
58,Gunnar Hamundarson,1
59,Rannveig Sigfusdottir,0
60,Sigfus Sighvatson,1
61,Hamund Gunnarsson,1
62,Gunnar Baugsson,1
63,Hrafnhild Storolfsdottir,0
64,Storolf Haengsson,1
65,Orm Storolfsson the Strong,1
66,Kolskegg Hamundarson,1
67,Hjort Hamundarson,1
68,Orm Skogarnef,1
69,Arngunn Hamundardottir,0
70,Hroar Unason the Godi of Tunga,1
71,Uni Gardarsson the Unborn,1
72,Gardar,1
73,Hamund Hroarsson the Lame,1
74,Njal Thorgeirsson,1
75,Thorgeir Thorolfsson Gollnir,1
76,Thorolf,1
77,Asgerd Askelsdottir,0
78,Askel the Silent,1
79,Thorir Thorgeirsson from Holt,1
80,Thorleif Thorisson Crow,1
81,Thorgrim Thorisson the Tall,1
82,Thorgeir Skorargeir Thorisson,1
83,Bergthora Skarphedinsdottir,0
84,Skarphedin,1
85,Valgard Jorundarson the Grey,1
86,Hrafn the Foolish,1
87,Valgard,1
88,Aevar,1
89,Vemund the Eloquent,1
90,Thorolf Pus-Nose,1
91,Thrand the Old,1
92,Harald War-tooth,1
93,Hraerek the Ring-scatterer,1
94,Aud,0
95,Ivar Vidfadmi,1
96,Halfdan the Valiant,1
97,Ulf Jorundarson Aur-Godi,1
98,Svart,1
99,Lodmund,1
100,Sigfus,1
101,Saemund the Learned,1
102,Kolbein the Young,1
103,Mord Valgardsson ,1
104,Skarphedin Njalsson,1
105,Grim Njalsson,1
106,Helgi Njalsson,1
107,Hoskuld Njalsson,1
108,Hrodny Hoskuldsdottir,0
109,Hoskuld ,1
110,Ingjald Hoskuldsson ,1
111,Thorhild Hrafnsdottir,0
112,Hrafn ,0
113,Astrid of Djuparbakki,0
114,Asgrim Ellida-Grimsson,1
115,Ellida-Grim,1
116,Asgrim,1
117,Ondott Crow,1
118,Jorunn Teitsdottir,0
119,Teit Ketilbjarnarson,1
120,Ketilbjorn the Old,1
121,Helga,0
122,Thord Beard,1
123,Hrapp,1
124,Olof,1
125,Bodvar,1
126,Viking-Kari,1
127,Sigfus,1
128,Thorgerd,0
129,Gauk Trandilsson,1
130,Thorhall Asgrimsson (1),1
131,Thorhall Asgrimsson (2),1
132,Grim Asgrimsson  ,1
133,Thorhalla Asgrimsdottir,0
134,Hallvard the White,1
135,Hakon Sigurdarson,1
136,Sigurd,1
137,Hakon  ,1
138,Grjotgard,1
139,Bergljot,0
140,Earl Thorir,1
141,Olof Arbot,1
142,Olvir,1
143,Vandil Snaeulfsson,1
144,Karl Snaeulfsson,1
145,Snaeulf the Old,1
146,Tofi from Denmark,1
147,"Hallgrim, a Viking",1
148,"Kolskegg, a Viking  ",1
149,Harald Gormsson,1
150,"Bergljot, kinswoman of Earl Hakon",0
151,Thrain Sigfusson,1
152,Thorhild the Poetess,0
153,Ketil Sigfusson ,1
154,Thorgerd Njalsdottir,0
155,Thorkel Sigfusson,1
156,Mord Sigfusson ,1
157,Lambi Sigfusson,1
158,Sigmund Sigfusson  ,1
159,Sigurd Sigfusson,1
160,Runolf Ulfsson,1
161,Helga Njalsdottir,0
162,Haf the Wise,1
163,"Kol, overseer at Hlidarendi",1
164,"Svart, servant at Bergthorshvol",1
165,"Atli, servant at Bergthorshvol",1
166,Brynjolf the Brawler,1
167,Thord Freed-man's son ,1
168,Sigtrygg,1
169,Gudfinna Thorolfsdottir,0
170,Sigmund Lambason,1
171,Lambi Sighvatsson,1
172,Skjold,1
173,Gizur Teitsson the White,1
174,Isleif Gizurarson the bishop,1
175,Geir the Godi,1
176,Thorkatla Ketilbjarnardottir,0
177,Otkel Skarfsson,1
178,Skarf,1
179,Hallkel Ketilsson,1
180,Grim the Grimsnes,1
181,Thorgerd Masdottir,0
182,Mar son of Brondolf,1
183,Brondolf son of Naddod the Faroese,1
184,Naddod the Faroese,1
185,Thorgeir Otkelsson,1
186,Skammkel,1
187,Hallkel Skarfsson,1
188,Hallbjorn Skarfsson the White,1
189,Melkolf,1
190,Lambi Sigurdarson,1
191,Audolf,1
192,Signy Otkelsdottir,0
193,Skafti Thoroddsson,1
194,"Thorodd, father of Skafti",1
195,Thorvor,0
196,Thormod Skafti,1
197,Oleif the Broad,1
198,Olvir Child-sparer,1
199,Odd from Kidjaberg,1
200,Halldor Ornolfsson,1
201,Starkad Barkarson,1
202,Bork Black-tooth-beard,1
203,Thorkel Bound-leg ,1
204,Hallbera Hroaldsdottir,0
205,Hroald the Red,1
206,Hildigunn,0
207,Thorstein Sparrow,1
208,Unn,0
209,Eyvind Karfi,1
210,Modolf the Wise,1
211,Thorgeir Starkadarson,1
212,Bork Starkadarson  ,1
213,Thorkel Starkadarson,1
214,Hildigunn Starkadardottir the Healer,0
215,Egil Kolsson,1
216,Kol,1
217,Ottar Boll,1
218,Onund Kolsson of Trollaskog,1
