source,target,value,layer,wave,fragment
0,101,3,9,3,1
0,115,3,9,3,1
0,272,3,9,3,1
0,336,14,9,3,1
0,337,3,1,2,1
0,354,3,9,3,1
0,381,3,9,3,1
0,422,4,1,2,1
0,510,3,9,3,1
0,726,7,9,3,1
0,729,6,9,3,1
0,742,4,9,2,2
1,110,4,3,3,3
1,600,5,3,3,2
1,671,3,3,3,3
1,751,6,3,3,2
2,148,13,5,1,1
2,189,4,5,1,1
2,290,4,2,1,1
2,501,3,5,1,1
2,592,4,2,1,1
2,667,4,5,1,1
2,717,3,2,1,1
2,726,3,5,1,1
2,745,3,2,1,1
3,148,11,5,1,1
3,197,7,5,1,1
3,218,3,2,1,1
3,280,14,6,1,3
3,292,9,2,1,1
3,358,16,6,1,1
3,400,10,6,1,3
3,588,12,5,1,1
3,593,4,1,1,1
3,613,11,6,1,3
3,726,23,6,1,3
3,729,3,5,1,1
3,746,3,5,1,1
3,785,6,6,1,3
3,792,4,6,1,1
4,6,6,1,1,1
5,336,3,1,1,1
6,21,4,2,1,1
6,22,7,8,1,1
6,88,4,8,1,4
6,119,9,5,3,1
6,130,33,5,5,1
6,139,3,8,1,1
6,150,3,2,1,1
6,157,5,5,1,1
6,163,4,8,1,3
6,174,11,5,5,1
6,190,3,8,1,4
6,246,20,5,5,3
6,259,5,5,5,3
6,304,3,5,5,2
6,338,5,8,1,1
6,345,25,8,1,4
6,360,110,8,1,4
6,433,3,1,1,1
6,439,5,8,1,1
6,526,3,5,5,1
6,555,5,8,1,2
6,602,5,5,5,3
6,631,99,8,1,4
6,667,12,5,5,3
6,782,3,1,1,1
7,48,6,2,2,6
7,311,6,2,2,2
7,696,3,2,2,5
7,781,4,2,2,1
8,50,7,5,1,3
8,56,4,2,1,2
8,60,17,5,1,3
8,151,5,5,1,1
8,186,4,2,1,1
8,205,4,1,1,1
8,210,27,5,1,1
8,252,6,1,1,1
8,254,10,2,1,1
8,262,4,1,1,1
8,463,7,2,1,1
8,493,11,2,1,1
8,626,5,1,1,1
8,696,20,5,1,3
8,744,20,5,1,3
9,602,3,1,1,1
10,46,5,2,1,1
10,64,4,9,2,1
10,91,4,2,1,1
10,95,3,3,1,1
10,115,3,9,2,1
10,162,4,1,1,1
10,189,15,9,2,1
10,194,3,1,1,1
10,242,3,3,1,1
10,336,37,9,2,1
10,354,6,9,2,1
10,357,3,9,2,1
10,527,3,1,1,1
10,588,14,9,1,1
10,602,35,9,2,1
10,623,4,1,1,1
10,726,9,9,2,1
10,729,26,9,2,1
10,746,3,3,1,1
11,228,3,1,2,1
11,235,3,1,1,1
11,273,3,1,2,1
11,573,4,1,1,1
12,64,3,8,1,2
12,70,3,8,1,1
12,145,4,8,1,2
12,148,30,8,1,2
12,183,6,8,1,1
12,261,5,8,1,1
12,351,26,8,1,2
12,366,9,8,1,2
12,562,3,1,1,1
12,570,23,8,1,1
13,96,3,3,1,1
13,115,3,3,1,1
13,155,3,1,1,1
13,726,7,3,1,1
14,279,3,2,1,1
14,360,5,2,1,1
14,575,3,1,1,1
15,89,7,2,2,1
15,296,3,2,1,1
15,355,6,1,1,1
15,474,3,2,2,1
16,428,3,2,1,1
16,442,3,2,1,1
17,53,4,5,3,1
17,138,4,5,2,1
17,160,14,5,3,1
17,392,3,1,1,1
17,584,3,5,3,1
17,640,4,5,3,1
17,667,9,5,3,1
18,198,13,3,4,1
18,442,7,3,3,1
18,461,16,3,4,1
18,520,3,3,1,4
18,633,4,3,4,1
19,338,3,2,1,1
19,726,4,2,1,1
20,160,5,2,1,2
20,454,5,2,1,1
20,667,3,2,1,3
21,39,5,4,1,2
21,402,7,4,1,1
21,453,3,2,1,1
21,479,7,4,1,1
21,531,8,4,1,1
21,616,6,4,1,1
21,631,8,2,1,2
22,88,3,8,1,1
22,259,3,5,3,1
22,279,4,5,2,1
22,338,13,8,1,1
22,345,13,8,1,1
22,354,4,5,3,1
22,360,63,8,1,1
22,439,6,8,1,1
22,555,4,8,1,1
22,559,4,5,3,1
22,575,5,5,1,1
22,631,12,8,1,1
22,667,3,5,3,1
22,726,15,5,3,1
23,189,11,5,1,1
23,293,6,5,1,1
23,368,8,5,1,1
23,602,4,5,1,1
23,709,3,5,1,1
24,201,4,1,1,1
24,357,3,1,2,1
25,360,13,3,1,1
25,464,6,3,1,1
25,653,5,3,1,1
26,50,18,3,1,1
26,373,5,3,1,1
26,667,5,3,1,1
27,48,6,2,1,1
27,288,4,2,1,1
28,336,6,2,2,1
28,393,10,2,1,1
28,422,4,2,2,1
29,48,9,9,5,13
29,115,4,9,5,13
29,121,4,9,5,14
29,185,3,9,5,14
29,237,3,2,1,1
29,258,10,9,5,3
29,314,3,2,2,1
29,327,4,9,5,14
29,336,3,9,5,12
29,354,7,9,5,13
29,472,5,9,5,14
29,510,6,9,5,1
29,542,3,9,5,14
29,568,5,9,5,14
29,617,3,9,5,3
29,632,5,9,5,13
29,700,5,9,5,14
29,729,8,9,4,3
29,740,10,2,1,1
29,790,5,2,2,1
30,510,3,2,1,1
30,564,4,2,1,1
31,160,4,1,2,1
31,192,4,1,1,1
31,239,3,1,1,1
32,38,10,5,1,1
32,227,11,5,1,1
32,499,4,5,1,1
32,679,8,5,1,1
