id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
0,Addam Marbrand,12,10,1.198849312913621,0.0004696816928106862,0.0008132115881599258,0.7692307692307693,0.4860787533814908,0.002444735699478975,0.022783015452166214
1,Aegon Frey (son of Stevron),4,4,1.0397207708399179,0.0,0.00041027312960507635,0.3076923076923077,0.421559382576986,0.0,0.011494252157118572
2,Aegon I Targaryen,9,5,1.464816384890813,0.006891001543130117,0.0011000744358857263,0.38461538461538464,0.5939162784103879,0.035868286406566974,0.0308197930725855
3,Aegon Targaryen (son of Rhaegar),15,7,1.8018924006588726,0.0060121669555032895,0.002093592455518749,0.5384615384615384,0.730585239033251,0.03129387287673372,0.0586542911575455
4,Aegon V Targaryen,1,1,-0.0,0.0,0.00025574705425103413,0.07692307692307693,-0.0,0.0,0.007165034504773226
5,Aemon Targaryen (Dragonknight),1,1,-0.0,0.0,0.00022052606328345077,0.07692307692307693,-0.0,0.0,0.0061782797743459815
6,Aemon Targaryen (Maester Aemon),26,8,1.751052605263619,0.019000091324598914,0.005212805999945793,0.6153846153846154,0.7099720192551658,0.09889719413298557,0.14604248313115994
7,Aenys Frey,4,3,1.3862943611198906,0.0008118667794293986,0.0005878325629295122,0.23076923076923078,0.5620791767693147,0.004225840030116062,0.01646877462089948
8,Aeron Greyjoy,15,5,1.7489707507713133,0.012935047376836956,0.004498805066839083,0.38461538461538464,0.7091279221485142,0.06732809172818092,0.1260389631018411
9,Aerys I Targaryen,1,1,-0.0,0.0,0.00021529675715753152,0.07692307692307693,-0.0,0.0,0.0060317750220704935
10,Aerys II Targaryen,19,10,1.7040703402696964,0.01406878931128196,0.0028677435139401325,0.7692307692307693,0.6909228522303438,0.07322932105766053,0.08034298298525791
11,Aggar,4,2,1.0397207708399179,0.007996770700326616,0.0011184480956555113,0.15384615384615385,0.421559382576986,0.041623914899991524,0.03133455132313509
12,Aggo,10,8,0.9404479886553263,0.00010043314677039314,0.001520207772887684,0.6153846153846154,0.38130879420927566,0.0005227636143347788,0.04259028976526587
13,Alayaya,4,3,1.0397207708399179,0.0025157232704402514,0.0005470533329267612,0.23076923076923078,0.421559382576986,0.013094567200289547,0.015326299721614835
14,Albett,3,3,0.6365141682948128,0.0,0.0003324547841709725,0.23076923076923078,0.2580774832180193,0.0,0.009314085774469176
15,Alebelly,4,3,1.3862943611198906,7.128938738653106e-06,0.00045193822572862826,0.23076923076923078,0.5620791767693147,3.71067710335661e-05,0.012661545568353378
16,Alerie Hightower,2,2,-0.0,0.0,0.00024536174330273456,0.15384615384615385,-0.0,0.0,0.00687407861671703
17,Alester Florent,7,6,1.351783994289646,0.00036283276404728686,0.0007421765104968655,0.46153846153846156,0.5480867959864332,0.0018885773594853898,0.020792889763346027
18,Alla Tyrell,5,4,1.3321790402101223,1.1757705054466043e-05,0.0007542059739395457,0.3076923076923077,0.540137880692053,6.119991843536364e-05,0.021129908388616718
19,Allar Deem,2,2,0.6931471805599453,0.0,0.00025700845717125184,0.15384615384615385,0.28103958838465737,0.0,0.0072003740924539116
