id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
1,Mord Sighvatson Gigja,5,3,0.6730116670092565,0.004153301668919684,0.002077151031211733,0.25,0.31168230775497724,0.019801400512903748,0.05730366786481276
2,Sighvat the Red,3,2,1.0986122886681096,0.00018211701094575822,0.0006418828285864272,0.16666666666666666,0.5087846619089057,0.0008682663002631918,0.017708024050608284
3,Unn Mardardottir,6,4,1.5607104090414063,0.004818352657673781,0.0019244691219553092,0.3333333333333333,0.7227895828149878,0.022972116738110643,0.053091536303107485
4,Hoskuld Dala-Kollsson,12,4,1.8200759753606213,0.03516125384782805,0.004211278790654039,0.3333333333333333,0.8429058634461788,0.16763580531288996,0.11617918845554108
5,Dala-Koll,1,1,-0.0,0.0,0.0003178982513330719,0.08333333333333333,-0.0,0.0,0.008770058380669679
6,Thorgerd Thorsteinsdottir,3,2,0.6365141682948128,0.030384852518021012,0.000811377159327095,0.16666666666666666,0.2947797410028236,0.14486369693231183,0.022383970425131638
7,Thorstein Olafsson the Red,5,2,-0.0,0.030418580263917812,0.002282079380309118,0.16666666666666666,-0.0,0.1450244983038803,0.0629571547207543
8,Olaf Ingjaldsson the White,2,2,-0.0,0.014827910583525762,0.001155422917985333,0.16666666666666666,-0.0,0.07069397304585626,0.031875376484780636
9,Ingjald Helgason,3,2,0.6365141682948128,0.012236813670205982,0.0019284813069970295,0.16666666666666666,0.2947797410028236,0.05834058486499262,0.053202222967480076
10,Helgi,1,1,-0.0,0.0,0.0007662491383903069,0.08333333333333333,-0.0,0.0,0.02113899541642972
11,Thora,2,2,-0.0,0.006929384608934487,0.0013426020122837491,0.16666666666666666,-0.0,0.03303673339604845,0.037039203519859405
12,Sigurd Snake-in-the-eye,2,2,-0.0,0.004373865090001062,0.0013554777567321265,0.16666666666666666,-0.0,0.020852965024100122,0.037394414755005656
13,Ragnar Shaggy-breeches,3,2,0.6365141682948128,0.008605429530178938,0.001998918242889028,0.16666666666666666,0.2947797410028236,0.04102749337660439,0.05514541088165672
14,Unn the Deep-minded,2,2,-0.0,0.0069754845034895,0.0010748426669519614,0.16666666666666666,-0.0,0.03325652057946387,0.029652358575974137
15,Ketil Flat-nose,3,2,-0.0,0.00608284322033357,0.0016467354448175672,0.16666666666666666,-0.0,0.0290007383196791,0.04542952321381855
16,Bjorn Buna,4,2,0.5623351446188083,0.012089502362308486,0.0022679344419426852,0.16666666666666666,0.26042626628656707,0.05763825923582234,0.0625669294372103
17,Hrut Herjolfsson,19,4,1.590269601106531,0.050725605910209484,0.01006323515571895,0.3333333333333333,0.7364789104297258,0.24184085793821955,0.27762077785572664
18,Herjolf,2,2,0.6931471805599453,0.0,0.0004719799714433423,0.16666666666666666,0.3210073813591232,0.0,0.013020807402076754
19,Hallgerd Hoskuldsdottir Long-hose,40,9,2.156961316732746,0.07338852584054759,0.014546174787050612,0.75,0.9989227733970772,0.34988924693213047,0.4012944442534831
20,Thorleik Hoskuldsson,5,3,1.3321790402101223,0.00282086328497033,0.0012172914799263616,0.25,0.6169531049003207,0.013448828943930728,0.033582183294429954
21,Bolli Thorleiksson,1,1,-0.0,0.0,0.0003477913037403769,0.08333333333333333,-0.0,0.0,0.009594736760274244
22,Olaf Hoskuldsson Peacock,3,2,1.0986122886681096,0.002728386876418942,0.0014202239490973656,0.16666666666666666,0.5087846619089057,0.013007935758293851,0.03918060855943236
23,Kjartan Olafsson,1,1,-0.0,0.0,0.0003282020687819742,0.08333333333333333,-0.0,0.0,0.009054316253091749
