source,target,value,layer,wave,fragment
0,1,32,8,1,1
0,2,2,6,1,9
0,20,5,6,1,1
0,4,22,8,1,2
0,18,41,8,1,2
0,21,2,6,1,1
0,15,12,8,1,1
0,22,2,3,1,1
0,23,8,6,1,5
24,0,11,8,1,1
0,26,3,6,1,5
0,27,2,3,2,1
0,8,47,8,1,2
0,29,1,6,1,8
0,30,1,3,1,1
0,13,2,6,1,3
0,19,4,3,5,1
0,32,9,8,1,1
0,33,2,3,6,1
0,34,9,8,1,2
0,35,1,3,6,1
0,17,1,6,1,1
0,38,2,3,1,1
0,39,1,3,1,1
40,0,3,6,1,1
0,14,1,6,1,3
0,43,1,3,4,1
0,44,1,3,4,1
0,45,3,3,4,1
0,50,3,6,1,1
0,51,1,6,1,6
0,52,2,3,1,1
0,54,1,6,1,1
0,55,1,6,1,1
0,5,1,6,1,2
0,53,3,6,1,1
0,57,2,2,1,1
0,12,21,8,1,2
0,58,1,3,1,1
0,36,2,8,1,2
0,63,1,3,6,1
0,69,2,6,1,9
0,70,1,3,1,1
0,71,7,3,1,1
0,82,8,2,1,2
0,83,2,2,1,1
0,86,1,2,1,1
48,0,3,6,1,8
0,87,4,6,1,9
0,72,2,6,1,9
0,66,8,6,1,9
0,88,1,1,1,1
1,2,17,6,1,9
1,3,2,1,3,1
2,3,8,4,6,2
8,1,28,8,1,1
1,18,24,8,1,1
1,4,13,8,1,1
1,20,3,6,1,1
24,1,55,8,1,1
1,26,2,6,1,5
1,29,4,6,1,8
1,12,5,8,1,1
40,1,1,6,1,1
1,51,1,6,1,6
1,50,2,6,1,1
1,36,3,8,1,1
1,34,5,8,1,1
1,66,34,6,1,9
1,69,23,6,1,9
65,1,1,1,4,1
1,68,1,1,5,1
72,1,18,6,1,9
1,87,5,6,1,9
8,2,6,6,1,6
24,2,39,6,1,7
2,66,32,6,1,10
72,2,77,6,1,9
2,29,3,6,1,8
2,69,48,6,1,9
2,79,1,4,1,1
2,87,20,6,1,10
48,2,2,6,1,8
96,2,20,4,6,2
2,98,13,4,6,2
2,101,1,4,6,1
2,103,2,4,6,1
2,93,2,4,2,1
2,94,3,4,4,1
2,95,1,4,3,1
3,93,8,4,2,1
3,92,2,4,1,1
98,3,17,4,6,2
97,3,1,1,2,1
96,3,15,4,6,2
72,3,9,4,5,1
3,101,1,4,6,1
3,103,3,4,6,1
3,69,3,4,1,3
24,3,3,4,1,1
4,5,1,6,1,2
6,7,1,1,1,1
8,7,1,3,2,1
4,7,1,3,2,1
8,4,26,8,1,2
5,7,1,3,2,1
9,5,1,3,1,1
9,7,1,3,1,1
10,5,8,3,2,1
10,11,2,3,1,1
11,5,1,3,1,1
12,13,3,1,2,1
12,14,1,1,1,1
13,14,3,6,1,3
4,15,22,8,1,1
8,15,15,8,1,1
16,15,2,1,1,1
17,4,2,6,1,1
8,17,2,6,1,1
17,15,2,6,1,1
12,5,6,3,3,1
10,12,3,3,2,1
5,14,2,6,1,2
14,15,1,6,1,2
13,15,7,6,1,2
4,14,2,6,1,3
4,13,9,6,1,3
18,13,7,6,1,3
18,4,16,8,1,2
18,14,1,6,1,3
8,13,7,6,1,3
8,19,3,3,5,1
19,15,1,3,4,1
19,4,2,3,5,1
19,13,2,1,1,1
18,15,10,8,1,1
4,20,6,6,1,1
18,20,3,6,1,1
21,15,2,6,1,1
4,21,2,6,1,1
18,21,2,6,1,1
4,22,2,3,1,1
18,22,1,3,1,1
23,15,3,6,1,2
4,23,8,6,1,3
18,23,5,6,1,4
24,18,12,8,1,1
8,14,1,6,1,3
25,12,3,3,3,1
26,27,1,1,1,1
26,15,1,6,1,2
26,4,2,6,1,3
27,15,1,3,2,1
27,4,2,3,2,1
8,23,1,6,1,5
24,20,1,6,1,1
26,20,1,6,1,1
24,4,1,8,1,1
24,26,1,6,1,5
26,18,1,6,1,4
28,29,1,3,1,1
29,23,1,6,1,5
21,23,1,6,1,1
29,15,1,6,1,2
18,29,1,6,1,4
21,29,1,6,1,1
4,29,1,6,1,3
28,15,2,3,1,1
18,28,1,3,1,1
4,30,1,3,1,1
27,30,1,3,1,1
26,23,1,6,1,5
12,31,2,3,4,1
12,15,5,8,1,1
12,4,1,8,1,2
31,15,1,3,4,1
4,31,1,3,4,1
32,4,2,8,1,1
33,4,2,3,5,1
34,4,3,8,1,2
35,4,1,3,5,1
32,33,4,3,6,1
32,34,16,8,1,1
32,35,1,3,6,1
33,34,4,3,6,1
33,35,1,3,6,2
34,35,1,3,6,1
36,12,6,8,1,2
36,31,1,3,3,1
8,34,20,8,1,2
32,8,9,8,1,1
8,33,1,3,5,2
17,18,2,6,1,1
25,5,3,3,3,1
17,13,1,6,1,1
8,18,9,8,1,2
12,37,1,3,3,2
5,37,1,3,3,1
25,37,1,3,3,1
25,10,1,3,2,1
19,38,4,3,1,1
37,15,1,3,3,2
18,5,2,6,1,2
9,11,1,3,1,1
38,39,2,3,1,1
19,39,2,3,1,1
18,12,5,8,1,2
41,12,2,3,4,1
42,12,2,3,1,1
41,42,1,3,1,1
32,12,3,8,1,1
34,12,2,8,1,2
33,12,1,3,4,1
32,36,2,8,1,1
34,36,8,8,1,2
33,36,1,3,3,1
40,15,1,6,1,1
40,8,2,6,1,1
8,6,1,1,2,1
18,43,1,3,3,1
43,44,2,3,4,1
43,45,1,3,4,1
18,44,1,3,3,1
18,45,1,3,3,1
44,45,1,3,4,1
8,46,5,2,2,1
46,47,2,2,1,1
8,47,6,2,1,1
48,46,2,2,2,1
48,49,3,2,2,1
48,8,1,6,1,6
49,46,1,2,2,2
8,49,1,2,2,1
24,50,4,6,1,1
24,51,3,6,1,6
24,52,1,3,1,1
50,51,4,6,1,1
50,18,4,6,1,1
50,52,2,1,1,1
18,51,1,6,1,4
51,52,1,1,1,1
18,52,2,3,1,1
8,36,8,8,1,2
8,12,5,8,1,2
8,41,1,3,5,1
41,36,1,3,3,1
36,15,1,8,1,1
41,34,1,3,5,1
34,15,1,8,1,1
32,41,1,3,5,1
32,15,1,8,1,1
41,15,1,3,4,1
32,18,2,8,1,1
42,15,1,3,1,1
18,53,3,6,1,1
49,53,1,1,1,1
54,55,2,6,1,1
5,54,2,6,1,1
5,55,2,6,1,1
8,54,1,6,1,1
8,55,1,6,1,1
8,5,1,6,1,2
8,53,3,6,1,1
18,54,1,6,1,1
53,54,1,6,1,1
18,55,1,6,1,1
53,55,1,6,1,1
5,53,1,6,1,1
32,53,2,3,1,1
56,33,1,1,1,1
34,53,2,3,1,1
18,34,1,8,1,2
12,53,2,3,1,1
8,57,2,2,1,1
8,58,2,3,1,1
24,8,9,8,1,1
24,12,2,8,1,1
24,36,3,8,1,1
18,36,5,8,1,2
59,36,2,3,2,1
36,60,2,3,1,1
36,61,1,3,2,1
18,59,2,3,2,1
59,60,2,3,1,1
59,61,1,3,2,1
18,60,2,6,1,1
18,61,1,3,2,1
60,61,1,3,1,1
40,18,2,6,1,1
24,40,2,6,1,1
34,62,1,1,1,1
8,63,2,3,5,2
8,64,1,1,1,1
58,5,1,3,1,1
32,63,1,3,6,1
34,63,1,3,6,1
65,36,2,1,1,1
36,4,1,8,1,2
24,34,1,8,1,1
24,65,1,1,3,1
66,67,2,1,4,1
67,68,2,1,5,1
66,68,4,4,1,2
66,51,3,6,1,6
66,50,3,6,1,1
24,66,29,6,1,7
24,69,49,7,1,1
66,69,26,6,1,9
51,69,1,6,1,6
8,66,22,6,1,6
8,69,1,6,1,6
70,71,2,3,1,1
72,8,10,6,1,6
72,66,43,6,1,9
72,30,1,1,1,1
72,29,1,6,1,8
24,72,54,7,1,1
69,70,1,3,1,1
69,71,1,3,1,1
72,69,69,7,1,1
73,74,1,1,1,1
73,75,1,2,1,1
73,66,1,2,1,1
74,75,1,4,1,1
74,66,1,4,1,1
66,75,4,4,1,1
68,69,1,4,1,2
76,69,1,4,1,2
66,76,3,4,1,2
68,76,3,4,1,2
24,68,1,4,1,1
